Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Haiti,HTI,..,..,..,..,..,..,..,..,0,0.012712507,0.012546644,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Honduras,HND,..,..,..,..,0.013121286,0.736690735,0.772154601,0.851983924,1.910867889,2.343078641,2.562728652,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Hong Kong SAR, China",HKG,..,6.502274004,27.77729939,29.30490243,30.74983609,32.39689537,31.54565585,31.02823274,31.42438621,32.10247763,35.46104221,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Hungary,HUN,..,0.033254719,17.62456478,19.70595237,21.56265736,23.13965059,24.01752372,26.08914508,25.97897973,27.43098954,28.459294,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Iceland,ISL,..,0.838507329,34.26601679,34.1206613,34.33886091,34.64782085,34.80561088,35.64628947,35.9154697,36.95445582,37.61897066,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,India,IND,..,..,0.449490875,0.650824488,0.91156066,1.093323336,1.211477217,1.192172985,1.242699781,1.321185131,1.444284754,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Indonesia,IDN,..,0.001914437,0.419034913,0.784810045,0.94746107,1.122379247,1.208356703,1.301419482,1.344871567,1.557631272,1.894337084,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Iran, Islamic Rep.",IRN,..,0.000267027,0.412876876,0.543899828,1.326240009,2.810378647,4.977062116,6.664099067,9.463216505,10.86343996,11.58205515,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Iraq,IRQ,..,..,0.000183487,0.000401151,0.010067056,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Ireland,IRL,..,..,20.48054339,22.13804031,22.83044373,23.67483822,24.30307547,25.70061677,26.9118345,27.70270556,28.48257535,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Israel,ISR,..,..,23.69552211,23.68774303,23.74545306,24.91312031,25.34045099,25.90149621,27.24329902,27.43850391,28.126995,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Italy,ITA,..,0.201803651,18.83337659,20.06721021,21.6464208,22.26059981,22.60565657,22.97575399,23.53658307,24.3696921,25.42560665,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Jamaica,JAM,..,..,3.579549091,4.110438663,4.256269868,4.293401494,4.443792771,5.05824947,5.414891971,8.13606628,10.11877896,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Japan,JPN,..,0.679837105,23.65520962,25.80483854,26.77740039,28.03678653,28.39488334,29.03697605,29.75510719,30.65225219,31.47121864,..
